iter	Passed	Remaining
758	1131	359
759	1132	357
760	1133	356
761	1135	354
762	1136	352
763	1137	351
764	1138	349
765	1140	348
766	1141	346
767	1142	345
768	1144	343
769	1145	342
770	1146	340
771	1147	339
772	1149	337
773	1150	335
774	1151	334
775	1152	332
776	1154	331
777	1155	329
778	1156	328
779	1158	326
780	1159	325
781	1160	323
782	1161	321
783	1163	320
784	1164	318
785	1165	317
786	1167	315
787	1168	314
788	1170	312
789	1171	311
790	1173	309
791	1174	308
792	1175	306
793	1177	305
794	1178	303
795	1179	302
796	1180	300
797	1181	299
798	1183	297
799	1184	296
800	1185	294
801	1187	293
802	1188	291
803	1189	290
804	1190	288
805	1191	286
806	1193	285
807	1194	283
808	1195	282
809	1196	280
810	1198	279
811	1199	277
812	1200	276
813	1202	274
814	1203	273
815	1204	271
816	1205	270
817	1206	268
818	1207	266
819	1209	265
820	1210	263
821	1211	262
822	1213	260
823	1214	259
824	1216	257
825	1217	256
826	1218	254
827	1219	253
828	1220	251
829	1222	250
830	1223	248
831	1224	247
832	1226	245
833	1227	244
834	1228	242
835	1229	241
836	1231	239
837	1232	238
838	1233	236
839	1234	235
840	1236	233
841	1237	232
842	1238	230
843	1240	229
844	1241	227
845	1243	226
846	1244	224
847	1245	223
848	1246	221
849	1248	220
850	1249	218
851	1250	217
852	1251	215
853	1253	214
854	1254	212
855	1255	211
856	1257	209
857	1258	208
858	1259	206
859	1260	205
860	1262	203
861	1263	202
862	1264	200
863	1265	199
864	1266	197
865	1268	196
866	1269	194
867	1270	193
868	1272	191
869	1273	190
870	1274	188
871	1275	187
872	1276	185
873	1278	184
874	1279	182
875	1280	181
876	1282	179
877	1283	178
878	1284	176
879	1285	175
880	1287	173
881	1288	172
882	1289	170
883	1290	169
884	1291	167
885	1293	166
886	1294	164
887	1295	163
888	1297	161
889	1298	160
890	1299	158
891	1300	157
892	1302	156
893	1303	154
894	1304	153
895	1305	151
896	1307	150
897	1308	148
898	1310	147
899	1311	145
900	1312	144
901	1314	142
902	1315	141
903	1316	139
904	1317	138
905	1319	136
906	1320	135
907	1321	133
908	1322	132
